ID,Year,Task,Model,CDmethodology,CImethodology,Tools
1,2021,inference,CausalDAG,N/A,regression,N/A
2,2012,inference,Other,N/A,N/A,JFCM
3,2023,both,SCM,GFCI,N/A,tetrad
4,2022,inference,CausalDAG,N/A,N/A,N/A
5,2020,inference,Other,N/A,N/A,N/A
6,2019,inference,CausalDAG,N/A,N/A,N/A
7,2013,inference,CausalDAG,N/A,N/A,N/A
8,2012,inference,CausalDAG,N/A,regression,N/A
9,2020,inference,PO,N/A,regression,N/A
10,2021,inference,Other,N/A,N/A,N/A
11,2013,inference,CausalDAG,N/A,regression,N/A
12,2019,inference,CausalDAG,N/A,N/A,N/A
13,2021,inference,CausalDAG,N/A,propensity-score,N/A
14,2021,inference,PO;Other,N/A,ensemble,N/A
15,2015,inference,CausalDAG,N/A,propensity-score,N/A
16,2017,inference,CausalDAG,N/A,covariatebalancing,N/A
17,2019,inference,CausalDAG,N/A,propensity-score,"matchit"
18,2023,both,SCM,FCI,regression,"causal-learn,causality"
19,2023,inference,SCM,N/A,N/A,dowhy
20,2022,both,SCM,FCI,regression,causal-learn
21,2020,inference,CausalDAG,N/A,ensemble,N/A
22,2004,discovery,CausalDAG,custom,N/A,Bayes-Net
23,2021,inference,CausalDAG,N/A,regression,N/A
24,2011,inference,PO;CausalDAG,N/A,regression,N/A
25,2023,discovery,CausalDAG,PC;custom,N/A,N/A
26,2021,inference,PO;CausalDAG,N/A,ensemble,N/A
27,2016,inference,N/A,N/A,N/A,N/A
28,2010,inference,PO;CausalDAG,N/A,regression,N/A
29,2022,inference,Other,N/A,N/A,N/A
30,2015,inference,PO;CausalDAG,N/A,regression,N/A
31,2022,discovery,CausalDAG,PC;custom,,causal-learn
32,2014,inference,CausalDAG,N/A,N/A,N/A
33,2023,inference,CausalDAG,N/A,regression,N/A
34,2023,both,SCM,FCI,"regression,simulation","tetrad,dowhy"
35,2021,discovery,CausalDAG,granger;PC;GES;CAM;LINGAM,N/A,"CausalDiscoveryToolbox,lingam"
36,2021,both,CausalDAG,PC;mixedLINGAM,regression,N/A
37,2022,inference,N/A,N/A,N/A,N/A
38,2021,discovery,CausalDAG,directLINGAM,N/A,N/A
39,2020,both,CausalDAG,granger,neural-network,N/A
40,2022,inference,CausalDAG,N/A,neural-network,N/A
41,2022,inference,SCM,custom,regression,dowhy
42,2023,discovery,SCM,custom,N/A,N/A
43,2023,inference,CausalDAG,N/A,regression,dowhy
44,2023,inference,SCM,N/A,ensemble,N/A
45,2023,both,SCM,BLIP,"regression,neural-network,instrumentalvariable","EconML,DeepIV"
46,2023,discovery,SCM,custom,N/A,N/A
47,2020,inference,CausalDAG,N/A,N/A,N/A
48,2015,Inference,SCM,N/A,regression,N/A
49,2023,discovery,CausalDAG,DAG-GNN,N/A,causal-learn
50,2022,discovery,CausalDAG,PC,N/A,N/A
51,2022,Inference,SCM,N/A,simulation,N/A
52,2024,Inference,SCM,N/A,simulation,pyAgrum
53,2023,inference,SCM,N/A,N/A,AMOSdiIBMSPSS
54,2023,both,SCM,DiBS,neural-network,N/A
55,2019,inference,CausalDAG,N/A,N/A,N/A
56,2016,inference,CausalDAG,N/A,N/A,N/A
57,2018,discovery,CausalDAG,PC,N/A,N/A
58,2018,inference,Other,N/A,N/A,N/A
59,2022,inference,CausalDAG,N/A,N/A,N/A
60,2023,inference,SCM,N/A,regression,N/A
61,2024,inference,CausalDAG,N/A,N/A,N/A
62,2022,inference,CausalDAG,N/A,regression,N/A
63,2020,inference,CausalDAG,N/A,regression,N/A
64,2024,both,SCM,FCI;FGES;GFCI;PC;RFCI,"regression,simulation","tetrad,dowhy"
65,2024,inference,SCM,N/A,regression,N/A
66,2012,discovery,CausalDAG,granger,N/A,N/A
67,2014,both,CausalDAG,granger,regression,N/A
68,2013,both,CausalDAG,granger,regression,N/A
69,2023,discovery,CausalDAG,granger,N/A,N/A
70,2023,both,CausalDAG,granger,regression,N/A
71,2023,discovery,CausalDAG,granger,N/A,N/A
72,2022,discovery,CausalDAG,granger,N/A,N/A
73,2021,both,CausalDAG,granger,regression,N/A
74,2020,discovery,CausalDAG,granger,N/A,N/A
75,2014,discovery,CausalDAG,granger,N/A,N/A
76,2003,discovery,CausalDAG,granger,N/A,N/A
77,2023,discovery,CausalDAG,TransferEntropy,N/A,N/A
78,2023,discovery,CausalDAG,TransferEntropy,N/A,N/A
79,2021,discovery,CausalDAG,GFCI,N/A,N/A
80,2022,both,CausalDAG,FGES,N/A,N/A
81,2021,both,CausalDAG,custom,N/A,N/A
82,2021,discovery,Other,custom,N/A,N/A
83,2024,discovery,CausalDAG,PC,N/A,causal-learn
84,2018,discovery,N/A,custom,N/A,N/A
85,2015,inference,Other,N/A,N/A,N/A
86,2021,inference,CausalDAG,N/A,regression,brms
